cluster,TF,overlap,odds_ratio,pvalue,padj
0,CREM,18.0,1.1528240545581585,0.47015438026475576,
0,CRX,10.0,4.484179900594011,0.10083468145366295,
0,CTCF,5.0,1.1207175177763413,0.6253751347748302,
0,CTNNB1,39.0,0.8739420665102354,0.739276350063147,
0,CUX1,7.0,1.045993265993266,0.6240486606418343,
0,DACH1,5.0,2.241637039431157,0.3998149166804603,
0,DDIT3,11.0,0.7043043031485609,0.8378944704003664,
0,DLX2,5.0,inf,0.15692319644180536,
0,DLX3,3.0,0.6723761816272118,0.824107373740164,
0,DLX5,8.0,3.5870540223847427,0.17955914260724068,
0,DMTF1,6.0,2.69007312835845,0.3095908294427123,
0,DNMT1,23.0,1.2890656586075846,0.3431418313363907,
0,DNMT3A,5.0,1.1207175177763413,0.6253751347748302,
0,E2F1,31.0,0.8683723610774085,0.7350958921851677,
0,E2F3,5.0,1.1207175177763413,0.6253751347748302,
0,E2F4,8.0,1.7933653885005454,0.35775333684118343,
0,E2F6,4.0,0.5976379967411357,0.861302271685183,
0,EBF1,5.0,1.1207175177763413,0.6253751347748302,
0,EGR1,47.0,0.9576027372061366,0.6227208715147802,
0,EGR2,7.0,0.5228552188552189,0.927307529387868,
0,EHMT2,5.0,2.241637039431157,0.3998149166804603,
0,ELF1,9.0,4.035598836269598,0.13501059404875485,
0,ELF3,8.0,3.5870540223847427,0.17955914260724068,
0,ELK1,3.0,0.33612749454633595,0.9670472657879691,
0,EOMES,4.0,0.8965377933987799,0.7264867648792672,
0,EP300,38.0,0.8963954852542578,0.7071381237136347,
0,EPAS1,9.0,1.0086269597543236,0.6254716308148001,
0,ERCC2,5.0,0.7470776772247361,0.7882825332333764,
0,ERG,5.0,0.7470776772247361,0.7882825332333764,
0,ESR1,19.0,1.216919025674786,0.41860063439260686,
0,ESR2,8.0,0.3982742288128364,0.9840269837168873,
0,ESRRA,6.0,2.69007312835845,0.3095908294427123,
0,ETS1,38.0,1.0647578785549576,0.482349314111125,
0,ETS2,17.0,1.0887342649266658,0.5239119758391841,
0,ETV2,3.0,0.44821039023996123,0.9217279826010608,
0,ETV4,11.0,1.2328659177240766,0.48293341315051785,
0,ETV5,6.0,inf,0.10834485239407438,
0,EWSR1,6.0,0.896529433154216,0.7076082191363499,
0,EZH2,8.0,0.7171522081700271,0.8144021451296009,
0,FLI1,11.0,4.932797219752687,0.07487876042382056,
0,FOS,34.0,0.8964122477045666,0.7030206208395988,
0,FOSL1,4.0,0.5976379967411357,0.861302271685183,
0,FOSL2,12.0,1.7934936350777935,0.2698174323173281,
0,FOXA1,9.0,4.035598836269598,0.13501059404875485,
0,FOXA2,33.0,2.4674809901310466,0.021913747733768703,
0,FOXC1,4.0,0.44818809841231366,0.9343220101369897,
0,FOXC2,4.0,0.5976379967411357,0.861302271685183,
0,FOXD3,5.0,0.7470776772247361,0.7882825332333764,
0,FOXF2,5.0,0.7470776772247361,0.7882825332333764,
0,FOXG1,6.0,1.3449153569552745,0.5276306956997026,
0,FOXM1,21.0,4.710058214747736,0.012391852524739186,
0,FOXO1,31.0,0.9263474345493273,0.6624438910134232,
0,FOXO3,7.0,1.5691313131313132,0.43764193398137874,
0,FOXO4,5.0,1.1207175177763413,0.6253751347748302,
0,FOXP1,6.0,inf,0.10834485239407438,
0,FOXP2,5.0,2.241637039431157,0.3998149166804603,
0,FOXP3,8.0,0.8965210715584468,0.6981372132435697,
0,FOXQ1,5.0,2.241637039431157,0.3998149166804603,
0,GABPA,5.0,1.1207175177763413,0.6253751347748302,
0,GATA1,11.0,1.6439693957272556,0.32664836053951174,
0,GATA2,9.0,inf,0.03565653184509951,
0,GATA3,16.0,7.176427791924336,0.015869878893038834,
0,GATA4,14.0,0.8964959786606312,0.6894756450524746,
0,GATA6,12.0,1.7934936350777935,0.2698174323173281,
0,GFI1,7.0,1.045993265993266,0.6240486606418343,
0,GFI1B,8.0,3.5870540223847427,0.17955914260724068,
0,GLI1,5.0,0.7470776772247361,0.7882825332333764,
0,GLI2,8.0,0.7171522081700271,0.8144021451296009,
0,GLI3,6.0,0.896529433154216,0.7076082191363499,
0,GTF2I,10.0,0.8965127086111447,0.6931196628373273,
0,GTF2IRD1,6.0,inf,0.10834485239407438,
